receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Northern Mariana Islands,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.5192588216062213,0.43294453655916487,0.0863142850470564
GRU,Papua New Guinea,42,42,CROSS_ARCH_SAME_SEED_ID,0.25998934856748085,0.4102472019243461,-0.15025785335686526
GRU,Papua New Guinea,42,123,CROSS_ARCH_CROSS_SEED,1.2236070827610916,1.2184603000717067,0.005146782689384954
GRU,Papua New Guinea,42,2025,CROSS_ARCH_CROSS_SEED,0.3939178093631558,0.34654386838764967,0.047373940975506124
GRU,Papua New Guinea,123,42,CROSS_ARCH_CROSS_SEED,1.7775078085580915,2.0964041949805146,-0.318896386422423
GRU,Papua New Guinea,123,123,CROSS_ARCH_SAME_SEED_ID,0.7553354060459859,0.23770009965675862,0.5176353063892273
GRU,Papua New Guinea,123,2025,CROSS_ARCH_CROSS_SEED,0.8104133101846834,0.7105412909745592,0.09987201921012423
GRU,Papua New Guinea,2025,42,CROSS_ARCH_CROSS_SEED,2.743351045092937,3.000424691510846,-0.2570736464179091
GRU,Papua New Guinea,2025,123,CROSS_ARCH_CROSS_SEED,2.1547297661725353,2.2034855871972576,-0.04875582102472231
GRU,Papua New Guinea,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.11919681330343083,0.15294331858820007,-0.03374650528476923
GRU,Philippines,42,42,CROSS_ARCH_SAME_SEED_ID,0.48885528218980956,0.5302935479044035,-0.04143826571459397
GRU,Philippines,42,123,CROSS_ARCH_CROSS_SEED,1.2907793155773222,1.251319035673034,0.03946027990428824
GRU,Philippines,42,2025,CROSS_ARCH_CROSS_SEED,1.2105390026072747,1.2443601617204805,-0.03382115911320582
GRU,Philippines,123,42,CROSS_ARCH_CROSS_SEED,1.5393942489394992,1.5647013103857932,-0.02530706144629402
GRU,Philippines,123,123,CROSS_ARCH_SAME_SEED_ID,0.25562673222191457,0.26549957309981476,-0.00987284087790019
GRU,Philippines,123,2025,CROSS_ARCH_CROSS_SEED,0.21627532670132338,0.22065430023643975,-0.004378973535116376
GRU,Philippines,2025,42,CROSS_ARCH_CROSS_SEED,0.48423549945372085,1.441025526738212,-0.9567900272844911
GRU,Philippines,2025,123,CROSS_ARCH_CROSS_SEED,1.3106778583634282,0.43073253834410674,0.8799453200193215
GRU,Philippines,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.7326861143078436,0.18024799062770153,0.5524381236801421
GRU,Singapore,42,42,CROSS_ARCH_SAME_SEED_ID,0.4628096583714202,0.7119292523241033,-0.24911959395268313
GRU,Singapore,42,123,CROSS_ARCH_CROSS_SEED,1.7320946217647195,1.5104430611231252,0.2216515606415943
GRU,Singapore,42,2025,CROSS_ARCH_CROSS_SEED,0.8031598369538654,0.7970761241396159,0.0060837128142494645
GRU,Singapore,123,42,CROSS_ARCH_CROSS_SEED,1.642776966634837,2.3703132208113686,-0.7275362541765316
GRU,Singapore,123,123,CROSS_ARCH_SAME_SEED_ID,2.87322909522676,2.6184659790114693,0.2547631162152908
GRU,Singapore,123,2025,CROSS_ARCH_CROSS_SEED,1.175112557804764,1.5604603880876369,-0.3853478302828728
